Business term name	Description	Mapping with E Invoicing Resolution Annex 2	ZATCA E-invoice Category	Business term ID (EN 16931) / KSA term ID			UBL specifications				Business requirements and rules			KSA context							Visibility on Invoice for Tax invoices and associated credit and debit notes	Visibility on human readable formats for Simplified Tax invoices and associated credit and debit notes		Field character limits			Example
											EN 16931 Rules	KSA Rules		KSA status (Mandatory / Optional / Conditional / Not applicable) in the XML format						KSA specific format							
				Group ID	Term ID		Invoice (/ubl:Invoice/) tag	Cardinality	Data type					Tax invoice	Debit note (tax invoice)	Credit note (tax invoice)	Simplified invoice	Debit note (simplified tax invoice)	Credit note (simplified tax invoice)					Number of characters (minimum limit) - Standard documents	Number of characters (minimum limit) - Simplified documents	Number of characters (maximum limit)	
Business process type	Identifies a user-defined profile of the customization of UBL being used.	NA	Process control	BG-2	BT-23		cbc:ProfileID	0..1	Text			BR-KSA-EN16931-01		M	M	M	M	M	M		Not Required	Not Required		-	-	-	Default value reporting:1.0
Invoice number	A unique identification of the Invoice.	2.1 Invoice Reference Number (IRN)	Invoice identifier	-	BT-1		cbc:ID	1..1	Identifier		BR-02	BR-KSA-F-06		M	M	M	M	M	M		Required	Required		1 character	1 character	127 characters	2021/02/12/1230
Unique invoice identifier	Globally unique reference identifying the invoice.	2.2 Universally Unique Invoice Identifier in UUID format.	Invoice UUID	-	KSA-1		cbc:UUID	1..1	Identifier			BR-KSA-03		M	M	M	M	M	M	letters, digits and dashes	Not Required	Not Required		-	-	-	3cf5ee18-ee25-44ea-a444-2c37ba7f28be
Invoice issue date (gregorian calendar)	The date when the Invoice was issued  as per Article 53 of the VAT Implementing Regulation	3.1 Invoice issue date as per Article 53(5)(a) of the VAT Implementing Regulation  OR  3.1 Note issue date as per Article 54(3) of the VAT Implementing Regulation	Dates	-	BT-2		cbc:IssueDate	1..1	Date		BR-03	BR-KSA-04 BR-KSA-F-01		M	M	M	M	M	M		Required	Required		-	-	-	2021-02-25
Invoice issue time	The time when the invoice was issued.	3.2 Invoice issue time OR 3.2 Note issue time	Times	-	KSA-25		cbc:IssueTime	1..1	Time			BR-KSA-70		M	M	M	M	M	M	HH:mm:ss	Not Required	Not Required		-	-	-	16:55:24
Invoice type code	A code specifying the functional type of the Invoice.	1.1 Invoice Type Description	Invoice type code	-	BT-3		cbc:InvoiceTypeCode	1..1	String		BR-04 BR-CL-01	BR-KSA-05		M	M	M	M	M	M	Subset of UN/CEFACT code list 1001, D.16B	Not Required (The invoice type -not the code- will be printed in the title)	Not Required (The invoice type -not the code- will be printed in the title)		-	-	-	388
Invoice type transactions	A code of the invoice subtype and invoices transactions.	1.1 Invoice Type Description 1.2 Special billing agreement flags (not mutually exclusive) 1.3 Special transaction type flags (not mutually exclusive)	Invoice transaction code	-	KSA-2		cbc:InvoiceTypeCode / @name	0..1	String			BR-KSA-06 BR-KSA-07 BR-KSA-31		M	M	M	M	M	M	Structure: NNPNESB where NN (positions 1 and 2) = invoice subtype: - 01 for tax invoice - 02 for simplified tax invoice P (position 3) = 3rd Party invoice transaction, 0 for false, 1 for true N (position 4) = Nominal invoice transaction, 0 for false, 1 for true E (position 5) = Exports invoice transaction, 0 for false, 1 for true S (position 6) = Summary invoice transaction, 0 for false, 1 for true B (position 7) = Self-billed invoice transaction, ) for false, 1 for true	Not Required - (For Self-billed invoices, it should be marked as "Self-billed Tax Invoice" on human readable form in the title)"	Not Required		-	-	-	010100
Invoice note	A textual note that gives unstructured information that is relevant to the Invoice as a whole.	10.1 Notes, to enter any information not captured in invoice fields	Notes	BG-1	BT-22		cbc:Note	0..*	Text			BR-KSA-F-06		O	O	O	O	O	O		Not Required	Not Required		0 characters	0 characters	1,000 characters	Unstructured text
Invoice currency code	The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.	NA	Currencies	-	BT-5		cbc:DocumentCurrencyCode	0..1	Code		BR-05 BR-CL-04	BR-KSA-CL-02		M	M	M	M	M	M		Not Required	Not Required		-	-	-	SAR
Tax currency code	The currency used for VAT accounting and reporting purposes as accepted or required in the country of the Seller.  Shall be used in combination with the Total VAT amount in accounting currency (BT-111).	NA	Currencies	-	BT-6		cbc:TaxCurrencyCode	0..1	Code		BR-CL-05	BR-KSA-EN16931-02 BR-KSA-68		M	M	M	M	M	M	ISO 4217 Currency codes	Required	Required		-	-	-	SAR
Purchase order ID	An identifier of a referenced purchase order, issued by the Buyer.	6.1 Purchase order	Reference documents	-	BT-13		cac:OrderReference/cbc:ID	1..1 if its parent context exists	Identifier			BR-KSA-F-06		O	O	O	O	O	O		Not Required	Not Required		0 characters	0 characters	127 characters	161313031
